"uniqueid","person","trip","tour","home_taz","orig","dest","time","mode","inbound","tourpurpose","income_group","inc","hhsize","license","sex","age"
145683,5,1,1,308,17,34,1,"HOV3",0,"K","Med",30,5,0,1,70
145605,4,2,1,309,5,40,1,"HOV2",2,"P","Low",-5,4,1,2,21
114325,2,2,2,310,46,33,5,"SOV",2,"L","High",140,5,1,1,25
114703,3,1,2,310,45,36,1,"HOV3",0,"K","Med",30,3,0,2,1
115983,2,2,1,310,21,18,1,"SOV",1,"W","High",130,4,1,1,45
117676,2,5,1,310,31,5,1,"SOV",2,"P","Med",75,2,1,1,72
112268,3,1,2,311,20,3,5,"HOV2",0,"S","High",500,5,1,2,20
112471,1,2,1,311,26,22,1,"Walk",2,"L","Low",0,1,1,1,21
112838,1,3,1,311,26,12,1,"HOV2",2,"K","High",120,8,1,2,38
113135,1,6,2,311,31,26,5,"SOV",2,"W","Med",45,1,1,1,27
116025,5,2,1,311,36,39,1,"SOV",2,"H","Med",75,5,1,1,78
116229,5,1,1,311,37,12,1,"HOV2",0,"S","Med",25,6,0,1,15
116752,3,2,2,311,24,5,5,"HOV3",2,"S","Med",65,4,0,1,16
117868,4,1,4,311,36,33,5,"HOV2",0,"R","High",130,5,1,2,20
112282,5,1,1,312,29,34,1,"HOV3",0,"S","Med",85,5,0,1,14
117688,3,1,1,312,46,26,1,"HOV3",0,"P","Med",65,5,0,1,16
117492,1,1,1,313,3,33,5,"HOV2",0,"R","Med",80,3,1,1,87
137417,2,1,1,314,14,29,1,"HOV2",0,"K","Med",40,7,1,2,43
140190,7,1,1,314,18,16,1,"HOV2",0,"K","Med",55,7,0,2,0
136834,3,2,1,315,50,28,1,"HOV2",2,"S","Med",75,4,0,2,9
136852,1,3,1,315,37,26,1,"SOV",1,"W","Med",60,2,1,2,44
138335,1,1,1,315,7,15,1,"SOV",0,"W","Med",80,2,1,2,40
141721,4,2,2,315,15,45,5,"HOV3",2,"K","Med",50,7,0,1,16
140934,2,2,2,318,21,25,5,"HOV3",2,"T","Med",75,3,1,2,47
120048,1,3,3,320,29,29,5,"SOV",2,"K","Low",0,3,1,2,37
122989,1,1,1,320,3,30,1,"HOV3",0,"S","Med",55,2,1,2,48
118429,3,1,1,321,11,13,1,"Walk",0,"S","Low",15,7,0,1,16
119914,1,1,1,321,16,39,1,"SOV",0,"W","Med",50,3,1,2,38
121342,1,1,1,321,27,35,1,"SOV",0,"H","Med",55,3,1,1,57
122860,3,2,1,321,28,48,1,"HOV3",2,"K","Med",60,4,0,1,1
120606,3,1,1,322,31,39,5,"HOV2",0,"T","Med",65,3,0,1,11
121504,1,4,1,322,17,50,1,"SOV",2,"K","Med",50,4,1,1,47
123195,5,2,1,322,9,28,1,"HOV2",0,"S","Med",65,5,0,2,21
118802,1,2,2,323,2,3,5,"SOV",2,"H","Med",85,2,1,1,59
131720,1,2,1,324,9,32,5,"SOV",2,"S","Med",30,2,1,1,20
132700,2,2,3,324,28,17,1,"HOV2",2,"K","Med",50,4,0,2,37
133376,1,1,3,324,7,41,1,"HOV2",0,"K","Low",5,3,1,2,29
133805,2,3,2,324,17,36,1,"HOV2",2,"P","Med",40,2,1,2,68
135057,3,2,1,324,36,45,5,"HOV3",2,"S","Low",20,5,0,1,17
132322,3,1,1,325,19,21,1,"Walk",0,"S","Low",15,4,0,1,10
132649,2,2,1,325,1,41,1,"Walk",2,"H","Med",30,10,1,2,48
133427,1,2,5,325,37,2,5,"HOV2",2,"R","Low",10,4,1,1,43
133562,1,3,2,325,23,43,1,"SOV",2,"H","Low",20,3,1,2,37
133751,3,2,2,325,4,24,5,"HOV3",2,"L","Low",5,10,0,1,13
135234,2,2,2,325,5,17,1,"HOV2",2,"P","Med",85,3,1,2,60
134355,1,1,2,326,35,27,1,"HOV2",0,"K","High",135,3,1,1,40
130982,4,2,2,327,42,36,5,"HOV3",2,"K","Low",20,4,0,2,25
133010,1,1,1,327,33,15,1,"SOV",0,"W","High",135,6,1,2,51
133204,1,1,3,327,18,13,5,"SOV",0,"W","Med",50,6,1,1,52
135626,2,2,1,327,37,27,1,"HOV3",0,"S","Med",65,5,0,1,16
135962,4,2,1,327,20,28,5,"HOV3",2,"S","Med",60,4,0,1,6
160703,1,3,1,328,41,10,1,"HOV2",2,"L","Med",40,6,0,1,30
160703,3,1,1,328,30,18,1,"HOV3",0,"S","Med",40,6,0,1,6
160703,3,2,1,328,30,13,1,"HOV3",2,"S","Med",40,6,0,1,6
161119,1,1,1,328,46,14,1,"HOV3",0,"H","Med",60,11,1,1,43
161813,4,1,3,328,22,45,1,"Walk",0,"K","Med",55,4,0,2,0
162737,6,2,1,328,49,40,1,"HOV3",2,"S","High",150,6,0,1,14
163659,2,4,2,328,18,32,5,"HOV3",2,"K","Med",60,3,1,2,18
163819,1,2,1,328,47,18,5,"SOV",2,"W","Med",30,5,1,2,47
164040,1,1,1,329,17,43,1,"HOV3",0,"L","Med",90,2,0,1,77
125960,1,5,1,330,42,8,1,"SOV",2,"L","Med",35,1,1,2,66
125924,1,4,1,331,15,2,1,"SOV",2,"C","Med",40,1,1,2,83
126908,1,2,2,331,36,4,1,"SOV",2,"L","Med",60,2,1,1,60
128133,2,3,1,332,37,23,5,"HOV2",2,"P","Med",55,2,1,2,46
130260,5,1,2,333,36,36,5,"HOV3",0,"T","Med",50,5,1,2,77
130432,2,3,1,333,49,38,1,"SOV",1,"W","High",145,2,1,2,40
148262,1,1,1,334,12,32,1,"SOV",0,"S","Med",45,2,1,1,53
149965,4,2,2,334,29,30,5,"HOV3",2,"S","Med",55,6,0,1,9
150713,1,1,3,334,2,35,5,"HOV3",0,"H","Med",45,4,1,1,40
151389,2,1,1,334,24,12,1,"HOV2",0,"S","Low",20,3,0,2,15
146854,2,3,1,335,29,24,1,"SOV",2,"K","Low",15,3,1,1,53
147779,10,6,1,335,42,40,5,"SOV",2,"W","Med",50,11,1,1,26
149461,3,2,1,335,41,5,1,"SOV",2,"R","Med",85,6,1,1,26
147588,3,2,1,336,19,40,5,"HOV3",2,"S","Med",30,4,0,1,16
147941,2,1,1,336,26,43,1,"HOV2",0,"S","Med",40,4,0,2,13
148845,1,3,1,336,17,1,1,"SOV",2,"K","Low",15,4,1,2,21
149655,2,1,2,336,40,15,5,"HOV3",0,"H","Med",25,7,1,2,39
149689,10,2,1,336,33,40,1,"HOV2",2,"K","Med",70,10,1,2,61
150140,4,2,1,336,34,31,5,"SOV",2,"S","Med",35,4,1,1,39
149323,1,2,1,337,11,17,1,"SOV",0,"W","Med",60,1,1,1,39
150505,5,3,1,337,5,42,5,"HOV3",2,"K","Low",10,10,0,2,11
180995,1,1,1,338,3,28,1,"SOV",0,"W","Med",35,4,1,1,46
181260,2,5,1,338,10,37,5,"HOV2",2,"W","High",500,4,1,2,42
181751,1,1,4,338,26,15,5,"HOV3",0,"R","Med",30,4,1,2,30
182305,4,1,1,338,8,1,1,"SOV",0,"S","High",105,4,1,1,18
183425,1,2,2,338,13,48,5,"SOV",2,"T","Low",15,1,1,1,31
181644,2,2,1,339,26,41,5,"HOV2",2,"H","Low",0,5,0,2,33
183251,2,1,3,339,21,41,5,"Bike",0,"R","Med",60,5,1,2,45
184151,5,3,1,339,27,37,5,"HOV3",2,"K","Med",40,6,0,2,0
161546,1,1,1,340,32,26,1,"SOV",0,"W","Med",50,1,1,1,36
164708,2,4,1,340,28,14,5,"SOV",2,"W","High",175,2,1,2,58
164863,2,2,1,340,2,14,5,"HOV3",2,"W","High",130,2,1,1,28
166125,1,3,1,340,32,38,5,"SOV",2,"P","Med",50,2,1,2,23
161703,2,4,1,341,34,7,1,"SOV",2,"W","Med",75,2,1,2,52
164530,1,3,1,341,38,26,1,"SOV",2,"W","Med",60,6,1,1,41
165190,1,5,1,341,42,15,1,"SOV",2,"W","Med",85,2,1,1,45
166367,1,1,4,341,4,42,5,"SOV",0,"L","Low",10,1,1,1,37
167214,2,2,2,342,8,34,5,"SOV",2,"W","Med",35,3,1,2,40
161152,1,3,2,343,5,36,1,"HOV3",2,"K","Med",35,4,1,2,29
162846,1,1,1,343,43,49,1,"SOV",2,"W","Med",35,2,1,2,51
167227,1,1,2,343,49,46,1,"SOV",0,"L","Med",45,2,1,1,63
167284,2,2,2,343,26,7,5,"HOV2",2,"K","Med",55,4,1,2,33
184451,4,1,1,344,9,9,1,"SOV",0,"W","Med",25,4,1,1,21
184610,1,2,3,344,47,40,5,"Walk",2,"H","Low",0,1,1,2,48
185123,2,2,1,344,13,19,1,"Walk",2,"K","Med",30,3,1,1,24
187175,2,1,2,344,48,35,1,"HOV3",0,"K","High",100,4,1,2,38
182799,3,3,1,345,8,46,1,"HOV3",2,"P","Med",25,5,0,1,10
185516,1,3,1,346,38,42,1,"HOV3",2,"P","Med",45,5,1,1,37
186193,1,2,1,346,48,22,1,"Walk",2,"L","Low",-5,1,1,1,40
182414,2,4,3,347,15,28,1,"HOV2",2,"H","Low",0,5,1,2,38
152584,2,1,1,348,37,6,1,"HOV3",0,"S","Med",45,5,0,1,9
153094,4,2,2,348,41,13,5,"Walk",2,"K","Med",35,7,0,1,14
154049,1,3,2,348,19,6,1,"SOV",0,"W","High",120,4,1,1,32
151961,2,1,2,349,46,31,5,"HOV2",0,"P","Med",45,8,1,2,45
152538,5,1,1,350,11,8,1,"HOV2",0,"W","Med",45,5,1,2,27
154568,1,1,1,350,39,24,5,"HOV2",0,"K","Low",5,4,0,2,79
154791,1,2,1,350,38,2,1,"HOV2",2,"L","Med",45,3,1,1,27
155674,4,2,1,350,16,3,5,"SOV",2,"W","Med",25,4,1,2,52
155451,4,2,2,351,36,49,5,"HOV3",2,"H","Med",60,5,0,2,11
152553,2,2,2,352,42,46,5,"HOV2",2,"R","Low",10,3,1,1,22
153311,5,1,1,352,6,19,1,"HOV2",0,"H","Med",35,8,0,1,0
155116,5,3,2,352,38,18,5,"HOV2",2,"S","High",140,6,0,2,16
192354,2,1,2,400,43,7,1,"SOV",0,"W","High",145,3,1,2,36
187532,2,2,3,401,17,19,5,"SOV",2,"P","Med",85,4,1,2,53
188507,2,1,1,401,40,28,1,"SOV",0,"R","High",500,2,1,2,51
189278,2,1,1,401,38,14,1,"SOV",0,"W","Med",65,2,1,2,27
190355,2,2,1,401,27,29,1,"SOV",2,"W","Low",20,2,1,2,65
192539,1,2,2,401,20,5,1,"SOV",2,"S","Med",40,3,1,2,42
191055,5,1,3,402,27,9,1,"Bike",0,"K","Med",25,5,0,1,38
193925,1,5,1,402,6,7,5,"SOV",2,"W","Med",50,2,1,1,52
194362,1,5,1,402,37,9,5,"SOV",2,"W","Med",50,1,1,2,32
192841,2,2,2,405,14,10,5,"HOV2",2,"L","Med",65,3,1,2,37
106496,1,2,2,406,32,2,1,"SOV",2,"L","High",175,3,1,1,54
107812,3,2,1,406,34,28,1,"HOV3",2,"S","High",115,5,0,1,17
107456,5,1,2,407,40,3,5,"HOV3",0,"K","Med",55,5,0,1,1
107677,2,1,3,408,38,4,1,"SOV",0,"K","High",135,3,1,2,50
107790,2,2,1,408,33,49,5,"HOV2",2,"S","Low",15,4,0,2,27
107831,1,2,2,408,4,47,5,"SOV",2,"L","Med",55,4,1,1,38
